full,city,state,extraversion,neuroticism,agreeableness,conscientiousness,openness,pop,lat,long
Antioch CA,Antioch,California,-0.06,0.01,-0.02,-0.02,-0.02,109485,37.99,-121.8
Costa Mesa CA,Costa Mesa,California,-0.01,-0.05,0.06,-0,0.06,109357,33.67,-117.91
Waterbury CT,Waterbury,Connecticut,-0.04,0.01,-0.09,-0.01,-0.06,108645,41.56,-73.04
Clearwater FL,Clearwater,Florida,0.06,-0.01,0.07,0.02,0.06,107866,27.98,-82.77
Fairfield CA,Fairfield,California,-0.02,-0.05,0.06,0.01,0.1,107749,38.25,-122.04
Richardson TX,Richardson,Texas,0.03,0,-0.01,0.01,-0.03,107481,32.97,-96.71
Killeen TX,Killeen,Texas,0.03,-0.04,-0.06,0.03,0.09,106441,31.1,-97.72
Charleston SC,Charleston,South Carolina,0.09,-0.03,0.01,0.02,0.04,106372,32.79,-79.99
Provo UT,Provo,Utah,-0.04,-0.06,0.19,-0.04,-0.07,105832,40.25,-111.64
West Jordan UT,West Jordan,Utah,-0.04,-0.04,0.1,0.05,-0.06,105629,40.6,-111.99
Burbank CA,Burbank,California,0.04,-0.02,-0.02,0.03,0.11,105515,34.19,-118.33
Denton TX,Denton,Texas,-0,0.07,0.03,-0.01,0.04,105431,33.21,-97.13
Allentown PA,Allentown,Pennsylvania,-0.03,0.06,0.02,-0.03,-0,105224,40.6,-75.48
Westminster CO,Westminster,Colorado,-0.06,-0,0.07,0.03,-0.03,104708,39.88,-105.05
Pueblo CO,Pueblo,Colorado,0.01,-0.04,0.06,0.03,0.01,104659,38.27,-104.62
Richmond CA,Richmond,California,0.03,-0.06,-0.05,0.03,0.1,103818,37.95,-122.36
Rialto CA,Rialto,California,0.02,-0.02,-0.03,0.03,0.05,103423,34.11,-117.39
Lowell MA,Lowell,Massachusetts,-0.02,0.06,-0.02,-0.07,-0.09,103085,42.64,-71.32
South Bend IN,South Bend,Indiana,0.02,-0.02,-0.02,0.01,0.02,102927,41.68,-86.27
Norman OK,Norman,Oklahoma,-0.05,0.09,0.03,-0.01,0.11,102925,35.23,-97.34
Santa Clara CA,Santa Clara,California,0.04,0,-0.02,-0.06,-0,102178,37.37,-121.97
Arvada CO,Arvada,Colorado,-0.02,-0.06,0.1,0.07,-0.02,101633,39.82,-105.11
Cambridge MA,Cambridge,Massachusetts,-0,-0,-0.08,-0.05,0.14,101342,42.38,-71.12
Billings MT,Billings,Montana,-0.08,0.03,0.07,0.05,0,101249,45.79,-108.54
Gresham OR,Gresham,Oregon,-0.03,0.03,0.08,0,0.01,100674,45.5,-122.44
Green Bay WI,Green Bay,Wisconsin,-0.04,0.08,-0.03,-0.05,-0.06,100616,44.52,-87.99
Wichita Falls TX,Wichita Falls,Texas,-0.03,0.08,0.02,-0.02,-0.02,100616,33.9,-98.52
South Gate CA,South Gate,California,0.01,-0.01,-0.05,-0.02,0.05,100612,33.94,-118.19
Berkeley CA,Berkeley,California,-0.03,0.02,-0.07,-0.12,0.21,99653,37.87,-122.27
Elk Grove CA,Elk Grove,California,-0.02,-0.04,0.09,-0.02,-0.06,99467,38.4,-121.37
Elgin IL,Elgin,Illinois,0.01,-0.03,-0.05,-0.04,-0.04,99411,42.04,-88.29
Erie PA,Erie,Pennsylvania,0,0.09,-0,0.02,-0.04,98968,42.13,-80.09
Portsmouth VA,Portsmouth,Virginia,0.03,0.05,0.01,-0.01,0.12,98664,36.86,-76.36
Midland TX,Midland,Texas,-0.02,0.03,0.07,-0,-0.08,98261,32.03,-102.1
Rochester MN,Rochester,Minnesota,-0.02,-0.09,0.09,-0.01,-0.08,98227,44.01,-92.48
Vacaville CA,Vacaville,California,-0.03,0.05,0.03,-0.02,0.02,98110,38.36,-121.97
Daly City CA,Daly City,California,-0.03,0.05,0.02,-0.04,-0.01,98084,37.69,-122.47
Murrieta CA,Murrieta,California,0.03,-0.03,0.1,-0.02,-0.04,97999,33.56,-117.21
Livonia MI,Livonia,Michigan,0,0.02,0.02,-0.04,-0.05,97722,42.4,-83.37
Everett WA,Everett,Washington,-0.04,0.04,-0.02,-0.05,0.01,97575,47.96,-122.2
Lewisville TX,Lewisville,Texas,0.04,0.04,0.01,-0,-0.06,97496,33.04,-96.98
Compton CA,Compton,California,0.13,-0.14,-0.07,0.01,0.17,97338,33.89,-118.23
Mission Viejo CA,Mission Viejo,California,0.11,-0.1,0.02,-0,0.06,97001,33.61,-117.65
Gary IN,Gary,Indiana,0.08,-0.15,-0.03,0.11,0.16,96950,41.6,-87.34
Carson CA,Carson,California,0.05,-0.08,0.03,0.01,0.17,96933,33.84,-118.26
Davenport IA,Davenport,Iowa,0.01,0.02,0.01,-0.01,-0.13,96595,41.56,-90.6
High Point NC,High Point,North Carolina,-0.09,0.05,0.01,-0,0.05,96011,35.98,-80
Centennial CO,Centennial,Colorado,-0.07,-0.02,0.06,0.01,0.05,95961,39.6,-104.85
West Palm Beach FL,West Palm Beach,Florida,0.09,-0.11,0.03,0.03,0.09,95924,26.75,-80.13
Round Rock TX,Round Rock,Texas,-0.06,0.07,0.05,-0.07,-0.03,95330,30.52,-97.67
Brockton MA,Brockton,Massachusetts,-0.03,0.04,-0.05,-0.02,0.01,94945,42.08,-71.03
El Cajon CA,El Cajon,California,-0.03,-0.03,0.13,0.01,-0.05,94767,32.8,-116.96
Orem UT,Orem,Utah,-0.04,-0.05,0.17,0.01,-0.05,94758,40.3,-111.7
Dearborn MI,Dearborn,Michigan,-0.02,0.07,0.03,-0.04,0.02,94681,42.31,-83.21
Kenosha WI,Kenosha,Wisconsin,0.02,-0,-0.01,0.04,-0.01,94673,42.58,-87.85
